,roles,companies,experience,locations,skills
0,Data Analyst/ Scientist,Sonu Kumar (Proprietor Of Bicano Tech Silca),0-3 Years,"Mumbai, Pune",  Data Scientist
1,data scientist,Atish Arun Sonune (Proprietor Of Tata Techno Solution),0-2 Years,Cochin / Kochi / Ernakulam,  Data Scientist
2,Data Scientist,Yashodha S M (Proprietor Of Co Inter Technology),0-2 Years,Chennai,  Data Scientist
3,Data Scientist,Yashodha S M (Proprietor Of Co Inter Technology),0-2 Years,Kozhikode / Calicut,"  data architech , Data Analyst , Data scientist"
4,Data Scientist,Js It Tech Solutions,3-5 Years,Hyderabad / Secunderabad,"  Deep Learning , Computer Vision"
5,Data Scientist,Applied Materials,4-7 Years,Bengaluru / Bangalore,"  R , Data Scientist , Scripting , Python , Shell Scripts"
6,Data Scientist,Alpha ICT LLP,3-10 Years,Pune,"  R , data architectures , Data Science , Machine Learning , Python"
7,Associate (Data Science/Analytics),Angel And Genie,3-5 Years,Bengaluru / Bangalore,"  Modeler , Data Scientist"
8,Senior/ Lead Data Scientist,A&S Software Technologies,5-8 Years,Chennai,"  Risk Analytics , NLHandling , Data Scientist , Python , Machine Learning , Deep Learning"
9,Data Scientist - Machine Learning,Company Name Confidential,3-6 Years,"Delhi, Gurgaon / Gurugram","  Logistic , Regression , Bagging and Boosting , Recommendation systems , Random Forests"
10,Data Scientist ( Contract ),Talent Basket,5-15 Years,Thiruvananthapuram / Trivandrum,"  ""Database Architect"" , Data Analyst , Data Scientist , Python Developers , Python Developer"
11,Senior Data Scientist (Althorithmic Trading),Tethys Technologies Private Limited,5-15 Years,Noida,"  Data Analyst , R/Splus , Data Scientist , Python , Matlab"
12,Junior Data Scientist,Yashodha S M (Proprietor Of Co Inter Technology),0-3 Years,"Mumbai, Mumbai City","  Data Science , Data Scientist , Artificial Intelligence , Machine Learning"
13,Data Scientist,Sonu Kumar (Proprietor Of Bicano Tech Silca),0-2 Years,Vadodara,"  Data Scientist , Data Structures , Multithreading , Design Patterns , Algorithms"
14,Business Analyst,Atish Arun Sonune (Proprietor Of Tata Techno Solution),0-3 Years,Aurangabad,"  Business Analytics , Business Analysis , Data Analyst , MIS Reporting , Due Diligence"
15,"Data Scientist – NLP, Text Mining",A&S Software Technologies,3-5 Years,Bengaluru / Bangalore,"  Data Scientist , Nlp , Text Mining , Data Mining , Python , Nlp"
16,Job Opportunity For Data Scientist,Peoplefy Infosolutions Private Limited,4-9 Years,Pune,"  neutral network , Machine Learning , Algorithms , Sql , Python"
17,Senior / Lead Data Scientist,Muskaan Parveen (Proprietor Of Muskan Industry),0-2 Years,Allahabad / Prayagraj,"  Database Administrator , Data Scientist , Database Admin , Data Base Administration"
18,Associate Data Scientist / Sr Associate Data Scientist / Data Scientist / Technical Data Scientist,Career Carnival LLP,2-8 Years,Bengaluru / Bangalore,"  Python , R Programming , Machine Learning"
